2017/10/30 18:43:57 Starting Registry Service
2017/10/30 19:08:15 2017-10-30 19:08:15.196463405 +0200 IST Starting Registry Service
2017/10/30 19:08:30 2017-10-30 19:08:30.128436137 +0200 IST Configuration  has 0 valid instances
2017/10/30 19:09:11 2017-10-30 19:09:11.747363889 +0200 IST Configuration successrate is  100
2017/10/30 19:09:15 2017-10-30 19:09:15.525240352 +0200 IST Configuration successrate is  100
2017/10/30 19:09:21 2017-10-30 19:09:21.463267922 +0200 IST Configuration successrate is  100
2017/10/30 19:10:12 2017-10-30 19:10:12.511164245 +0200 IST Bot successrate is  100
2017/10/30 19:10:32 2017-10-30 19:10:32.514783823 +0200 IST Bot successrate is  100
2017/10/30 19:10:43 2017-10-30 19:10:43.305843955 +0200 IST Configuration successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.807910042 +0200 IST Bot successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.808874887 +0200 IST Authentication successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.80978794 +0200 IST User successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.812710789 +0200 IST User successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.833590817 +0200 IST Bot successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.834594454 +0200 IST Authentication successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.835503871 +0200 IST User successrate is  100
2017/10/30 19:13:33 2017-10-30 19:13:33.836277935 +0200 IST Authentication successrate is  100
2017/10/30 19:13:34 2017-10-30 19:13:34.82537618 +0200 IST Bot successrate is  100
2017/10/30 19:13:34 2017-10-30 19:13:34.826254073 +0200 IST Authentication successrate is  100
2017/10/30 19:13:34 2017-10-30 19:13:34.827086618 +0200 IST User successrate is  100
2017/10/30 19:13:34 2017-10-30 19:13:34.827885452 +0200 IST Authentication successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.469690195 +0200 IST Bot successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.471031507 +0200 IST Authentication successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.472061463 +0200 IST User successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.487605358 +0200 IST Bot successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.488482026 +0200 IST Authentication successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.489257751 +0200 IST User successrate is  100
2017/10/30 19:19:21 2017-10-30 19:19:21.490238276 +0200 IST Authentication successrate is  100
2017/10/30 19:19:22 2017-10-30 19:19:22.480190075 +0200 IST Bot successrate is  100
2017/10/30 19:19:22 2017-10-30 19:19:22.481202034 +0200 IST Authentication successrate is  100
2017/10/30 19:19:22 2017-10-30 19:19:22.482143564 +0200 IST User successrate is  100
2017/10/30 19:19:22 2017-10-30 19:19:22.482907791 +0200 IST Authentication successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.45129906 +0200 IST Bot successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.452495295 +0200 IST Authentication successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.45354397 +0200 IST User successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.46928099 +0200 IST Bot successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.470288735 +0200 IST Authentication successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.471348077 +0200 IST User successrate is  100
2017/10/30 19:19:46 2017-10-30 19:19:46.472327703 +0200 IST Authentication successrate is  100
2017/10/30 19:19:47 2017-10-30 19:19:47.466782951 +0200 IST Bot successrate is  100
2017/10/30 19:19:47 2017-10-30 19:19:47.468551791 +0200 IST Authentication successrate is  100
2017/10/30 19:19:47 2017-10-30 19:19:47.469903997 +0200 IST User successrate is  100
2017/10/30 19:19:47 2017-10-30 19:19:47.471141969 +0200 IST Authentication successrate is  100
2017/10/30 19:19:59 2017-10-30 19:19:59.963062511 +0200 IST Bot successrate is  100
2017/10/30 19:19:59 2017-10-30 19:19:59.968188349 +0200 IST Configuration successrate is  100
2017/10/30 19:19:59 2017-10-30 19:19:59.977162269 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.252312032 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.253484619 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.254508474 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.271196996 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.272077857 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.273116405 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.274408773 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.298522147 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.299445744 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.299609354 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.300381862 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.300542366 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.309666682 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.311647441 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.313051799 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.313130801 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.313178835 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.31325675 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.313270755 +0200 IST Bot successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.335459506 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.335600554 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.335628967 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.337136822 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.33899197 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.339226538 +0200 IST User successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.34189408 +0200 IST Authentication successrate is  100
2017/10/30 19:20:13 2017-10-30 19:20:13.342201263 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.165394629 +0200 IST Bot successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.165911723 +0200 IST Bot successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.167439051 +0200 IST Bot successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.168355965 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.168618731 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.16965691 +0200 IST Bot successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.169720044 +0200 IST User successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.169696429 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.169835723 +0200 IST User successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.171706632 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.171875697 +0200 IST User successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.172133715 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.172297605 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.173065311 +0200 IST User successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.174883653 +0200 IST Authentication successrate is  100
2017/10/30 19:20:17 2017-10-30 19:20:17.175209313 +0200 IST Authentication successrate is  100
2017/10/30 19:20:19 2017-10-30 19:20:19.967763736 +0200 IST Bot successrate is  100
2017/10/30 19:20:19 2017-10-30 19:20:19.971180821 +0200 IST Configuration successrate is  100
2017/10/30 19:20:19 2017-10-30 19:20:19.97759711 +0200 IST User successrate is  100
2017/10/30 19:20:24 2017-10-30 19:20:24.124433836 +0200 IST Bot successrate is  100
2017/10/30 19:20:24 2017-10-30 19:20:24.125779774 +0200 IST Authentication successrate is  100
2017/10/30 19:20:24 2017-10-30 19:20:24.126827742 +0200 IST User successrate is  100
2017/10/30 19:20:24 2017-10-30 19:20:24.128034131 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.299122985 +0200 IST Bot successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.299870389 +0200 IST Bot successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.300132242 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.301151967 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.301303639 +0200 IST User successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.302542275 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.303246341 +0200 IST Bot successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.303560152 +0200 IST Bot successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.303680341 +0200 IST User successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.3057148 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.305709838 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.305892734 +0200 IST Bot successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.305960174 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.310134043 +0200 IST User successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.31014563 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.310857966 +0200 IST User successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.312317353 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.313519667 +0200 IST User successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.31401526 +0200 IST Authentication successrate is  100
2017/10/30 19:21:13 2017-10-30 19:21:13.314599777 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.164805147 +0200 IST Bot successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.165853409 +0200 IST Bot successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.166026229 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.167180563 +0200 IST User successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.167251328 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.167300684 +0200 IST Bot successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.168319391 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.168350194 +0200 IST User successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.168801961 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.170006828 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.170177568 +0200 IST Bot successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.170290321 +0200 IST User successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.171836081 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.171967394 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.187592477 +0200 IST Bot successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.187746613 +0200 IST User successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.189353288 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.189499439 +0200 IST Authentication successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.190350043 +0200 IST User successrate is  100
2017/10/30 19:21:17 2017-10-30 19:21:17.191329818 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.306006286 +0200 IST Bot successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.306738494 +0200 IST Bot successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.307358606 +0200 IST Bot successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.30740244 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.307758117 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.30860988 +0200 IST User successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.308735128 +0200 IST Bot successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.308790051 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.308814197 +0200 IST User successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.309479887 +0200 IST Bot successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.309840404 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.309935154 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.310328442 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.310740898 +0200 IST User successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.310765189 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.311374177 +0200 IST User successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.311431133 +0200 IST User successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.312280259 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.315187767 +0200 IST Authentication successrate is  100
2017/10/30 19:22:13 2017-10-30 19:22:13.315399776 +0200 IST Authentication successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.16460606 +0200 IST Bot successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.166310017 +0200 IST Bot successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.166532153 +0200 IST Authentication successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.167580655 +0200 IST Authentication successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.167736093 +0200 IST User successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.167939475 +0200 IST Bot successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.168329732 +0200 IST Bot successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.16944996 +0200 IST User successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.169818635 +0200 IST Bot successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.170130587 +0200 IST Authentication successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.170248959 +0200 IST Authentication successrate is  100
2017/10/30 19:22:17 2017-10-30 19:22:17.170362635 +0200 IST Authentication successrate is  100
